Restaurant Rank,Name 
1,Piccola Cucina
2,Piccola Cucina Enoteca
3,Au Cheval
4,OBOA Hell's Kitchen
5,Mei Jin Ramen
6,Bleeker Street Pizza
7,Spice Symphony
8,Paulie Gee’s
9,Petite Boucherie
10,Jungsik
11,Burger & Lobster
12,MONA
13,Boucherie West Village
14,B Side Pizzeria
15,Broadway Bagel
16,Pure Thai Cookhouse
17,San Carlo Osteria Piemonte
18,Norma
19,Buenos Aires
20,Numero 28 Pizzeria
21,Bagels & Schmear
22,Venezia
23,Beyond Sushi
24,Trattoria Pesce Pasta
25,Kuu Ramen
26,Gabriel Kreuther
27,Patsy's Italian Restaurant
28,Suprema Provisions
29,Izakaya MEW
30,Morso NYC
31,Kesté Pizza & Vino
32,Eileen's Special Cheesecake
33,John's Coffee Shop
34,Samba Kitchen
35,Gaonnuri
36,Momofuku Ko
37,Patzeria Family & Friends
38,Gallagher's Steak House
39,Royal 35 Steakhouse
40,Gramercy Kitchen
41,Thai Villa
42,Up Thai
43,Emily
44,Blue Ribbon Sushi
45,Lido
46,Cull & Pistol
47,Decoy Bar
48,Jacob Restaurant Soul Food & Salad Bar
49,Keens Steakhouse
50,Emmy Squared
51,Tocqueville Restaurant
52,Mofungo
53,Hummus Place Upper West Side
54,Beyond Sushi
55,Craft
56,Dirt Candy
57,L'Artusi
58,Rubirosa
59,Roberta's
60,Hangawi
61,Momofuku Noodle Bar
62,Flex Mussles
63,Il Punto
64,Juanchi's Burger
65,Russ & Daughters Café
66,EJ's Luncheonette
67,Del Posto
68,Momoya
69,Miso Sushi
70,Bareburger
71,Barney Greengrass
72,Dinosaur Bar-B-Que
73,Mermaid Oyster Bar
74,San Matteo Pizza Espresso Bar
75,The Capital Grille
76,Chefs Club by Food & Wine NY
77,The Musket Room
78,Momosan Ramen & Sake
79,John's of Bleeker Street
80,Taïm
81,Jacob's Pickels
82,Rustic Table
83,Pylos
84,Naruto Ramen
85,Margon
86,Morso NYC
87,The Little Owl
88,Tomoe Sushi 
89,Del Posto
90,Her Name is Han
91,Khe-Yo
92,Tamarind TriBeCa
93,"Blossom on Columbus	"
94,Saigon Shack
95,Westway Diner
96,Blue Ribbon Brasserie
97,Club A Steakhouse
98,Rafele
99,J.G. Melon
100,Katsu-Hama
